trade_in_id,customer_id,new_vehicle_id,trade_in_date,trade_in_brand,trade_in_model,trade_in_year,trade_in_mileage,trade_in_value,location
TRD-00039,CUS-02132,VEH-02914,2025-04-14,Honda,City,2013,42835,79000,Pune
TRD-00040,CUS-04384,VEH-01567,2026-09-21,Tata,Tiago,2022,110850,174000,Chennai
TRD-00041,CUS-00527,VEH-02916,2026-10-05,Honda,Amaze,2022,82474,441000,Chennai
TRD-00042,CUS-00284,VEH-00781,2025-02-03,Hyundai,i20,2013,106635,46000,Mumbai
TRD-00043,CUS-04000,VEH-01046,2026-01-13,Honda,City,2014,22546,94000,Bengaluru
TRD-00044,CUS-01196,VEH-02496,2025-03-30,Tata,Tiago,2016,32671,213000,Ahmedabad
TRD-00045,CUS-02116,VEH-04837,2026-09-20,Tata,Tiago,2013,98951,84000,Gurgaon
TRD-00046,CUS-02586,VEH-02219,2025-11-15,Maruti Suzuki,Swift,2022,61160,199000,Bengaluru
TRD-00047,CUS-01316,VEH-03607,2025-11-27,Toyota,Innova,2017,47651,207000,Mumbai
TRD-00048,CUS-02296,VEH-00763,2026-04-28,Honda,Amaze,2023,129199,384000,Bengaluru
TRD-00049,CUS-01982,VEH-02598,2026-11-11,Renault,Kwid,2023,97544,383000,Delhi
TRD-00050,CUS-02079,VEH-03758,2025-04-21,Renault,Kwid,2014,82036,123000,Gurgaon
TRD-00051,CUS-01307,VEH-04198,2026-10-23,Tata,Tiago,2014,47167,62000,Gurgaon
TRD-00052,CUS-00794,VEH-04076,2025-06-13,Tata,Nexon,2022,120875,161000,Mumbai
TRD-00053,CUS-04585,VEH-04312,2026-07-20,Maruti Suzuki,Dzire,2015,60024,56000,Gurgaon
TRD-00054,CUS-00383,VEH-01750,2025-02-26,Mahindra,XUV500,2013,49375,51000,Hyderabad
TRD-00055,CUS-04162,VEH-00524,2025-02-18,Maruti Suzuki,Dzire,2012,80314,68000,Bengaluru
TRD-00056,CUS-02601,VEH-00372,2025-07-08,Renault,Kwid,2022,23813,325000,Gurgaon
TRD-00057,CUS-02540,VEH-01996,2025-07-31,Tata,Nexon,2021,54558,313000,Pune
TRD-00058,CUS-00530,VEH-04389,2026-07-14,Ford,EcoSport,2023,132931,185000,Gurgaon
TRD-00059,CUS-04213,VEH-01835,2026-08-06,Toyota,Innova,2023,34528,331000,Hyderabad
TRD-00060,CUS-02363,VEH-01511,2026-12-04,Toyota,Innova,2014,136796,112000,Hyderabad
TRD-00061,CUS-03483,VEH-02254,2025-07-02,Hyundai,Creta,2017,134193,69000,Bengaluru
TRD-00062,CUS-00860,VEH-03515,2025-02-28,Renault,Kwid,2023,93434,266000,Bengaluru
TRD-00063,CUS-04485,VEH-02103,2026-12-16,Toyota,Innova,2013,50578,45000,Mumbai
TRD-00064,CUS-04092,VEH-04541,2026-04-21,Hyundai,Creta,2017,91643,122000,Bengaluru
TRD-00065,CUS-01349,VEH-04162,2025-03-17,Hyundai,i20,2013,47516,137000,Delhi
TRD-00066,CUS-02693,VEH-00084,2026-10-03,Toyota,Innova,2023,90599,213000,Chennai
TRD-00067,CUS-02232,VEH-03919,2026-05-10,Maruti Suzuki,Swift,2020,18855,231000,Delhi
TRD-00068,CUS-00346,VEH-02774,2025-05-21,Tata,Tiago,2013,66808,73000,Ahmedabad
TRD-00069,CUS-04340,VEH-01358,2026-08-07,Tata,Tiago,2020,57530,254000,Chennai
TRD-00070,CUS-00305,VEH-04202,2026-06-18,Hyundai,Creta,2012,43866,103000,Pune
TRD-00071,CUS-04863,VEH-02994,2025-04-26,Mahindra,XUV500,2019,134378,100000,Chennai
TRD-00072,CUS-00385,VEH-03786,2026-06-19,Renault,Kwid,2015,76377,86000,Delhi
TRD-00073,CUS-02943,VEH-02677,2026-04-13,Tata,Nexon,2014,58134,111000,Delhi
TRD-00074,CUS-02103,VEH-02807,2025-07-14,Honda,City,2012,75622,45000,Chennai
TRD-00075,CUS-01107,VEH-03343,2025-04-24,Hyundai,Venue,2017,60193,103000,Bengaluru
TRD-00076,CUS-03492,VEH-04180,2025-03-03,Honda,City,2020,112836,134000,Delhi
TRD-00077,CUS-00603,VEH-04689,2026-05-17,Maruti Suzuki,Swift,2022,90798,256000,Gurgaon
TRD-00078,CUS-00342,VEH-00121,2025-01-26,Honda,Amaze,2012,123640,72000,Gurgaon
TRD-00079,CUS-02976,VEH-01157,2026-01-09,Kia,Seltos,2020,118108,218000,Bengaluru
TRD-00080,CUS-04885,VEH-02842,2025-10-06,Ford,EcoSport,2017,46728,93000,Hyderabad
TRD-00081,CUS-01820,VEH-02353,2025-06-08,Honda,Amaze,2018,118944,84000,Mumbai
TRD-00082,CUS-01651,VEH-02835,2025-12-28,Toyota,Innova,2015,46359,149000,Delhi
TRD-00083,CUS-04102,VEH-04773,2025-08-16,Renault,Kwid,2012,67981,116000,Mumbai
TRD-00084,CUS-00957,VEH-01054,2025-09-12,Tata,Tiago,2012,102493,65000,Delhi
TRD-00085,CUS-04641,VEH-02111,2026-02-04,Hyundai,Venue,2013,31090,55000,Gurgaon
TRD-00086,CUS-00886,VEH-01981,2025-07-31,Ford,EcoSport,2018,109352,99000,Chennai
TRD-00087,CUS-04357,VEH-01058,2026-10-16,Kia,Seltos,2017,62165,65000,Ahmedabad
TRD-00088,CUS-00165,VEH-01535,2026-09-28,Tata,Tiago,2015,113210,57000,Delhi
TRD-00089,CUS-02850,VEH-03452,2026-12-13,Maruti Suzuki,Swift,2015,81919,53000,Hyderabad
TRD-00090,CUS-04517,VEH-02937,2026-05-06,Maruti Suzuki,Swift,2015,81654,72000,Mumbai
TRD-00091,CUS-00052,VEH-00227,2025-05-25,Maruti Suzuki,Dzire,2020,94114,120000,Mumbai
TRD-00092,CUS-02842,VEH-02953,2025-07-15,Honda,City,2017,85811,70000,Hyderabad
TRD-00093,CUS-03852,VEH-02006,2025-07-16,Renault,Kwid,2013,69269,85000,Ahmedabad
TRD-00094,CUS-01227,VEH-02575,2026-10-26,Ford,EcoSport,2016,34643,189000,Mumbai
TRD-00095,CUS-03234,VEH-04582,2025-05-10,Hyundai,Creta,2016,140116,84000,Ahmedabad
TRD-00096,CUS-00996,VEH-01509,2025-08-02,Renault,Kwid,2017,25945,194000,Chennai
TRD-00097,CUS-02506,VEH-04848,2025-04-05,Toyota,Innova,2014,93436,45000,Bengaluru
TRD-00098,CUS-04173,VEH-01824,2026-03-28,Hyundai,Venue,2018,123784,86000,Hyderabad
TRD-00099,CUS-00360,VEH-02446,2025-05-14,Toyota,Innova,2019,38828,276000,Bengaluru
TRD-00100,CUS-00151,VEH-01354,2026-06-30,Tata,Tiago,2020,124522,89000,Pune
TRD-00101,CUS-01745,VEH-01348,2026-10-23,Honda,Amaze,2023,109975,116000,Hyderabad
TRD-00102,CUS-04676,VEH-04711,2025-08-02,Hyundai,Creta,2013,92497,114000,Ahmedabad
TRD-00103,CUS-03247,VEH-02736,2026-12-18,Renault,Kwid,2023,52478,408000,Ahmedabad
TRD-00104,CUS-04758,VEH-02404,2026-12-17,Tata,Nexon,2017,142710,73000,Delhi
TRD-00105,CUS-00781,VEH-03852,2025-05-06,Tata,Tiago,2016,56590,64000,Chennai
TRD-00106,CUS-02861,VEH-03470,2025-12-16,Honda,Amaze,2016,25278,80000,Bengaluru
TRD-00107,CUS-01576,VEH-00059,2025-02-10,Honda,Amaze,2023,105291,341000,Chennai
TRD-00108,CUS-00780,VEH-01556,2025-06-21,Honda,City,2012,91921,45000,Chennai
TRD-00109,CUS-00466,VEH-02354,2026-04-23,Tata,Nexon,2022,83328,245000,Mumbai
TRD-00110,CUS-02720,VEH-03948,2025-07-30,Maruti Suzuki,Swift,2013,47370,57000,Delhi
TRD-00111,CUS-03416,VEH-02824,2026-09-10,Honda,City,2012,63759,45000,Chennai
TRD-00112,CUS-02978,VEH-01600,2025-04-04,Tata,Tiago,2012,92830,85000,Ahmedabad
TRD-00113,CUS-00812,VEH-01997,2026-12-17,Honda,City,2018,65100,154000,Delhi
TRD-00114,CUS-00948,VEH-03330,2026-06-13,Maruti Suzuki,Swift,2012,23269,48000,Chennai
TRD-00115,CUS-00745,VEH-03934,2025-05-29,Maruti Suzuki,Swift,2016,111481,101000,Hyderabad
TRD-00116,CUS-00218,VEH-02352,2026-08-01,Honda,City,2021,78550,212000,Hyderabad
TRD-00117,CUS-03740,VEH-00876,2025-07-31,Hyundai,Creta,2019,64007,236000,Pune
TRD-00118,CUS-01740,VEH-01361,2025-03-16,Honda,City,2020,94147,168000,Bengaluru
TRD-00119,CUS-04216,VEH-01180,2026-11-04,Tata,Nexon,2018,35635,283000,Bengaluru
TRD-00120,CUS-01666,VEH-00687,2025-12-21,Tata,Nexon,2012,28899,48000,Bengaluru
TRD-00121,CUS-04629,VEH-02430,2025-09-18,Ford,EcoSport,2019,96962,106000,Chennai
TRD-00122,CUS-00356,VEH-02834,2025-06-07,Hyundai,Creta,2013,40365,128000,Ahmedabad
TRD-00123,CUS-03190,VEH-01718,2025-03-21,Honda,Amaze,2014,107294,45000,Bengaluru
TRD-00124,CUS-03228,VEH-02256,2025-08-07,Maruti Suzuki,Dzire,2017,92205,61000,Bengaluru
TRD-00125,CUS-04146,VEH-00307,2026-12-20,Maruti Suzuki,Dzire,2017,141218,179000,Ahmedabad
TRD-00126,CUS-02572,VEH-00907,2025-11-05,Toyota,Innova,2013,119696,62000,Hyderabad
TRD-00127,CUS-04895,VEH-00556,2025-07-31,Tata,Nexon,2022,53982,495000,Bengaluru
TRD-00128,CUS-01838,VEH-03118,2026-07-17,Toyota,Innova,2023,104678,224000,Hyderabad
TRD-00129,CUS-03718,VEH-04864,2025-04-25,Toyota,Innova,2013,100030,68000,Hyderabad
TRD-00130,CUS-00359,VEH-03529,2026-12-20,Hyundai,i20,2023,50440,522000,Gurgaon
TRD-00131,CUS-02640,VEH-02667,2025-11-03,Tata,Nexon,2019,25590,285000,Delhi
TRD-00132,CUS-01574,VEH-03903,2026-03-16,Honda,City,2018,31060,314000,Hyderabad
TRD-00133,CUS-02729,VEH-02226,2025-04-26,Honda,City,2016,54446,185000,Ahmedabad
TRD-00134,CUS-01317,VEH-01332,2025-03-12,Honda,City,2017,117756,90000,Delhi
TRD-00135,CUS-03565,VEH-04262,2026-10-01,Honda,City,2013,141400,59000,Hyderabad
TRD-00136,CUS-00032,VEH-02012,2026-12-20,Renault,Kwid,2013,131614,72000,Ahmedabad
TRD-00137,CUS-04164,VEH-00626,2025-05-26,Mahindra,XUV500,2014,53632,153000,Hyderabad
TRD-00138,CUS-00876,VEH-02208,2025-12-18,Ford,EcoSport,2021,125088,317000,Bengaluru
TRD-00139,CUS-01256,VEH-00958,2026-03-02,Honda,Amaze,2021,30100,321000,Pune
TRD-00140,CUS-04546,VEH-01263,2025-10-01,Hyundai,Creta,2021,58075,120000,Mumbai
TRD-00141,CUS-04964,VEH-02614,2025-05-31,Kia,Seltos,2022,58571,386000,Bengaluru
TRD-00142,CUS-01101,VEH-03218,2025-04-25,Toyota,Innova,2020,51432,247000,Bengaluru
TRD-00143,CUS-04035,VEH-00013,2025-06-21,Renault,Kwid,2021,38272,459000,Hyderabad
TRD-00144,CUS-02937,VEH-01568,2026-03-12,Tata,Tiago,2020,20396,252000,Mumbai
TRD-00145,CUS-04299,VEH-00221,2025-06-15,Tata,Tiago,2018,105304,203000,Pune
TRD-00146,CUS-01216,VEH-01431,2025-04-03,Toyota,Innova,2021,79606,359000,Gurgaon
TRD-00147,CUS-01822,VEH-03621,2026-06-11,Honda,Amaze,2015,53938,125000,Pune
TRD-00148,CUS-04051,VEH-01161,2026-08-28,Maruti Suzuki,Dzire,2021,31056,426000,Mumbai
TRD-00149,CUS-03150,VEH-01277,2025-04-27,Maruti Suzuki,Dzire,2018,34619,285000,Pune
TRD-00150,CUS-01233,VEH-03524,2026-10-04,Honda,City,2019,75044,268000,Delhi
TRD-00151,CUS-02215,VEH-03008,2026-04-24,Tata,Nexon,2012,108711,45000,Delhi
TRD-00152,CUS-01774,VEH-01674,2026-02-14,Kia,Seltos,2015,135195,55000,Ahmedabad
TRD-00153,CUS-02253,VEH-01668,2026-10-10,Honda,City,2014,62893,69000,Pune
TRD-00154,CUS-04666,VEH-01310,2026-12-20,Tata,Nexon,2021,83040,298000,Mumbai
TRD-00155,CUS-01192,VEH-00228,2026-10-14,Toyota,Innova,2019,59754,154000,Hyderabad
TRD-00156,CUS-03723,VEH-00389,2026-04-20,Maruti Suzuki,Swift,2022,67121,253000,Pune
TRD-00157,CUS-02823,VEH-00985,2025-10-27,Ford,EcoSport,2021,103474,280000,Chennai
TRD-00158,CUS-04694,VEH-02566,2025-11-29,Honda,City,2016,120904,158000,Hyderabad
TRD-00159,CUS-01531,VEH-01416,2025-05-09,Toyota,Innova,2013,53611,121000,Bengaluru
TRD-00160,CUS-04197,VEH-01846,2026-12-03,Renault,Kwid,2019,128869,77000,Pune
TRD-00161,CUS-00580,VEH-01826,2025-07-29,Honda,Amaze,2023,20394,440000,Mumbai
TRD-00162,CUS-04987,VEH-04895,2026-12-10,Honda,Amaze,2016,51560,142000,Chennai
TRD-00163,CUS-02066,VEH-03476,2025-07-21,Maruti Suzuki,Swift,2022,126884,257000,Mumbai
TRD-00164,CUS-00397,VEH-01266,2026-11-19,Honda,Amaze,2014,66523,75000,Mumbai
TRD-00165,CUS-04999,VEH-02989,2025-03-08,Honda,City,2023,90033,359000,Pune
TRD-00166,CUS-00619,VEH-02981,2026-02-24,Honda,Amaze,2023,105700,358000,Ahmedabad
TRD-00167,CUS-00861,VEH-02675,2026-04-03,Renault,Kwid,2022,71739,274000,Delhi
TRD-00168,CUS-00701,VEH-00179,2025-10-23,Ford,EcoSport,2016,42083,159000,Delhi
TRD-00169,CUS-04848,VEH-03260,2026-09-29,Maruti Suzuki,Swift,2021,135767,196000,Mumbai
TRD-00170,CUS-03540,VEH-03263,2025-12-29,Mahindra,XUV500,2019,39043,343000,Bengaluru
TRD-00171,CUS-01735,VEH-01529,2025-05-10,Hyundai,i20,2020,99923,325000,Hyderabad
TRD-00172,CUS-04381,VEH-00335,2025-07-30,Honda,Amaze,2022,84520,397000,Bengaluru
TRD-00173,CUS-03585,VEH-00560,2025-12-11,Ford,EcoSport,2020,94161,173000,Delhi
TRD-00174,CUS-03381,VEH-02241,2025-09-23,Mahindra,XUV500,2018,125073,59000,Ahmedabad
TRD-00175,CUS-01301,VEH-01770,2026-07-07,Tata,Nexon,2021,88819,213000,Mumbai
TRD-00176,CUS-00330,VEH-00087,2025-12-28,Tata,Nexon,2022,132706,232000,Pune
TRD-00177,CUS-01738,VEH-00177,2026-05-17,Mahindra,XUV500,2021,144145,183000,Delhi
TRD-00178,CUS-01808,VEH-00734,2026-05-31,Maruti Suzuki,Swift,2012,143895,98000,Delhi
TRD-00179,CUS-03203,VEH-03259,2026-09-10,Tata,Nexon,2017,47351,258000,Gurgaon
TRD-00180,CUS-04667,VEH-03521,2026-08-31,Toyota,Innova,2019,107228,146000,Chennai
TRD-00181,CUS-02645,VEH-01879,2025-03-02,Tata,Tiago,2013,73060,46000,Bengaluru
TRD-00182,CUS-00587,VEH-03873,2026-08-17,Tata,Nexon,2015,141842,75000,Hyderabad
TRD-00183,CUS-00773,VEH-01796,2025-04-30,Toyota,Innova,2022,79700,331000,Delhi
TRD-00184,CUS-00368,VEH-00954,2025-08-03,Honda,Amaze,2012,30990,56000,Delhi
TRD-00185,CUS-01685,VEH-04047,2025-05-02,Honda,Amaze,2018,98353,90000,Gurgaon
TRD-00186,CUS-03087,VEH-02793,2026-02-21,Hyundai,Creta,2014,45283,149000,Pune
TRD-00187,CUS-00509,VEH-02143,2025-07-06,Mahindra,XUV500,2012,20770,54000,Delhi
TRD-00188,CUS-00431,VEH-02563,2026-05-19,Hyundai,Venue,2015,116856,45000,Mumbai
TRD-00189,CUS-00759,VEH-00692,2026-10-31,Renault,Kwid,2019,57275,186000,Chennai
TRD-00190,CUS-00558,VEH-02406,2026-06-24,Toyota,Innova,2018,93263,177000,Mumbai
TRD-00191,CUS-02737,VEH-02321,2025-11-29,Maruti Suzuki,Dzire,2020,18495,335000,Ahmedabad
TRD-00192,CUS-03339,VEH-02760,2026-06-26,Mahindra,XUV500,2021,101716,126000,Delhi
TRD-00193,CUS-02698,VEH-03908,2026-11-02,Ford,EcoSport,2014,93020,121000,Chennai
TRD-00194,CUS-02719,VEH-03932,2026-06-06,Maruti Suzuki,Swift,2015,26935,78000,Gurgaon
TRD-00195,CUS-00241,VEH-02775,2025-09-16,Hyundai,Creta,2019,96584,193000,Ahmedabad
TRD-00196,CUS-00528,VEH-00644,2025-09-30,Honda,Amaze,2021,63728,148000,Gurgaon
TRD-00197,CUS-03869,VEH-03488,2026-10-19,Maruti Suzuki,Swift,2015,126317,45000,Bengaluru
TRD-00198,CUS-00214,VEH-00601,2025-11-20,Kia,Seltos,2018,74652,156000,Chennai
TRD-00199,CUS-00597,VEH-01331,2026-10-26,Kia,Seltos,2016,126408,87000,Delhi
TRD-00200,CUS-00814,VEH-01006,2026-04-25,Honda,Amaze,2022,115760,175000,Hyderabad
TRD-00201,CUS-00693,VEH-00233,2025-05-19,Honda,City,2018,49763,300000,Gurgaon
TRD-00202,CUS-02449,VEH-04074,2025-06-06,Hyundai,Venue,2016,100288,98000,Pune
TRD-00203,CUS-03795,VEH-03203,2025-10-22,Hyundai,Venue,2012,124993,99000,Mumbai
TRD-00204,CUS-03494,VEH-03843,2025-12-07,Hyundai,i20,2022,121925,336000,Hyderabad
TRD-00205,CUS-04432,VEH-01106,2025-12-25,Toyota,Innova,2013,70563,95000,Hyderabad
TRD-00206,CUS-03362,VEH-00415,2026-05-09,Toyota,Innova,2017,64202,106000,Delhi
TRD-00207,CUS-04779,VEH-01307,2026-12-18,Kia,Seltos,2021,37095,325000,Ahmedabad
TRD-00208,CUS-04420,VEH-04983,2025-08-04,Mahindra,XUV500,2023,84981,421000,Gurgaon
TRD-00209,CUS-02876,VEH-03709,2025-04-03,Hyundai,Creta,2023,78472,296000,Mumbai
TRD-00210,CUS-00171,VEH-02171,2026-09-23,Mahindra,XUV500,2020,92631,133000,Bengaluru
TRD-00211,CUS-01070,VEH-00776,2026-06-24,Toyota,Innova,2020,144815,241000,Mumbai
TRD-00212,CUS-01944,VEH-04409,2025-09-06,Tata,Tiago,2019,51700,296000,Ahmedabad
TRD-00213,CUS-02953,VEH-00597,2026-11-19,Kia,Seltos,2013,24816,45000,Chennai
TRD-00214,CUS-00750,VEH-03370,2025-08-11,Tata,Tiago,2018,110400,192000,Mumbai
TRD-00215,CUS-00540,VEH-02613,2026-11-02,Renault,Kwid,2018,59090,209000,Pune
TRD-00216,CUS-00462,VEH-03611,2026-03-27,Maruti Suzuki,Dzire,2023,59516,324000,Mumbai
TRD-00217,CUS-04458,VEH-00374,2026-09-23,Maruti Suzuki,Dzire,2022,85343,184000,Hyderabad
TRD-00218,CUS-03453,VEH-03226,2025-04-07,Maruti Suzuki,Swift,2016,28157,198000,Ahmedabad
TRD-00219,CUS-02430,VEH-02117,2026-06-14,Renault,Kwid,2013,92288,60000,Gurgaon
TRD-00220,CUS-03349,VEH-04786,2025-09-15,Renault,Kwid,2016,50683,197000,Mumbai
TRD-00221,CUS-01381,VEH-04195,2026-04-25,Maruti Suzuki,Swift,2014,73356,118000,Bengaluru
TRD-00222,CUS-02022,VEH-03996,2026-12-17,Maruti Suzuki,Dzire,2016,99307,108000,Gurgaon
TRD-00223,CUS-00593,VEH-01273,2026-10-25,Honda,Amaze,2012,28347,87000,Bengaluru
TRD-00224,CUS-02213,VEH-01782,2026-07-13,Honda,Amaze,2015,136310,45000,Mumbai
TRD-00225,CUS-01598,VEH-03123,2025-08-09,Maruti Suzuki,Dzire,2023,60375,323000,Pune
TRD-00226,CUS-00954,VEH-04138,2026-08-25,Tata,Tiago,2015,143094,65000,Ahmedabad
TRD-00227,CUS-02483,VEH-01849,2025-10-16,Ford,EcoSport,2012,112882,96000,Bengaluru
TRD-00228,CUS-01722,VEH-02982,2026-10-01,Hyundai,Venue,2013,136645,84000,Bengaluru
TRD-00229,CUS-01737,VEH-00623,2026-01-11,Maruti Suzuki,Swift,2019,48568,190000,Hyderabad
TRD-00230,CUS-03968,VEH-02599,2026-09-16,Maruti Suzuki,Dzire,2023,140321,220000,Ahmedabad
TRD-00231,CUS-00323,VEH-04891,2026-04-02,Hyundai,Venue,2021,81055,153000,Hyderabad
TRD-00232,CUS-04471,VEH-03489,2025-07-09,Toyota,Innova,2012,30806,79000,Bengaluru
TRD-00233,CUS-02844,VEH-01306,2025-03-11,Tata,Nexon,2014,28059,76000,Bengaluru
TRD-00234,CUS-04843,VEH-01760,2026-02-14,Toyota,Innova,2014,142426,45000,Bengaluru
TRD-00235,CUS-03487,VEH-00994,2025-10-23,Tata,Nexon,2013,45356,127000,Chennai
TRD-00236,CUS-02873,VEH-04602,2026-05-02,Honda,Amaze,2016,128949,144000,Ahmedabad
TRD-00237,CUS-02139,VEH-01847,2026-01-05,Maruti Suzuki,Swift,2014,138002,45000,Mumbai
TRD-00238,CUS-03789,VEH-01048,2025-11-06,Honda,City,2015,62746,45000,Mumbai
TRD-00239,CUS-03113,VEH-00252,2025-12-25,Toyota,Innova,2019,28939,108000,Pune
TRD-00240,CUS-03046,VEH-00327,2026-11-06,Renault,Kwid,2012,143416,74000,Gurgaon
TRD-00241,CUS-00522,VEH-03449,2026-12-20,Honda,Amaze,2023,49774,235000,Gurgaon
TRD-00242,CUS-00958,VEH-03861,2026-06-20,Kia,Seltos,2017,98117,78000,Delhi
TRD-00243,CUS-00240,VEH-03968,2026-03-16,Hyundai,i20,2019,71245,169000,Chennai
TRD-00244,CUS-02757,VEH-04507,2025-08-08,Ford,EcoSport,2016,122423,148000,Delhi
TRD-00245,CUS-04635,VEH-00117,2026-03-13,Tata,Nexon,2012,129063,75000,Mumbai
TRD-00246,CUS-03773,VEH-00988,2025-06-27,Toyota,Innova,2017,67286,158000,Chennai
TRD-00247,CUS-02768,VEH-00598,2025-04-20,Maruti Suzuki,Swift,2016,40169,151000,Gurgaon
TRD-00248,CUS-01811,VEH-03698,2025-05-20,Tata,Nexon,2016,117237,125000,Ahmedabad
TRD-00249,CUS-02233,VEH-02225,2026-08-02,Honda,City,2022,115800,328000,Mumbai
TRD-00250,CUS-04333,VEH-00809,2025-06-01,Renault,Kwid,2023,117625,319000,Hyderabad
TRD-00251,CUS-02283,VEH-02545,2026-04-19,Maruti Suzuki,Dzire,2023,85924,484000,Gurgaon
TRD-00252,CUS-01539,VEH-03506,2026-05-05,Maruti Suzuki,Dzire,2013,57335,62000,Ahmedabad
TRD-00253,CUS-03095,VEH-00354,2025-11-20,Tata,Nexon,2012,66377,45000,Bengaluru
TRD-00254,CUS-02479,VEH-03514,2026-10-17,Kia,Seltos,2019,105970,215000,Delhi
TRD-00255,CUS-03181,VEH-00187,2026-01-14,Maruti Suzuki,Swift,2020,40335,403000,Delhi
TRD-00256,CUS-03632,VEH-03582,2026-03-15,Ford,EcoSport,2020,67993,107000,Ahmedabad
TRD-00257,CUS-02225,VEH-02087,2025-11-15,Ford,EcoSport,2016,29981,141000,Ahmedabad
TRD-00258,CUS-01691,VEH-03365,2026-08-19,Ford,EcoSport,2014,99806,63000,Mumbai
TRD-00259,CUS-00086,VEH-04243,2025-06-25,Tata,Tiago,2022,20461,175000,Mumbai
TRD-00260,CUS-03160,VEH-01159,2026-01-01,Ford,EcoSport,2017,129155,61000,Pune
TRD-00261,CUS-04729,VEH-00031,2025-12-13,Maruti Suzuki,Dzire,2015,75442,126000,Pune
