vehicle_id,brand,model,variant,fuel_type,location,dealer_id,stock_date,stock_status,listed_price
VEH-00020,Maruti Suzuki,Baleno,Zeta,Petrol,Chennai,DLR-CHN-03,2025-09-28,Sold,869000
VEH-00021,Hyundai,i20,Asta,Petrol,Hyderabad,DLR-HYD-02,2025-08-14,Sold,815000
VEH-00022,Tata,Nexon,Fearless+,Electric,Pune,DLR-PUN-01,2025-04-24,Sold,1568000
VEH-00023,Tata,Punch,Adventure,Petrol,Chennai,DLR-CHN-02,2026-09-04,Sold,672000
VEH-00024,Hyundai,Venue,S,Petrol,Hyderabad,DLR-HYD-02,2026-06-27,Sold,1068000
VEH-00025,Skoda,Kushaq,Style,Petrol,Ahmedabad,DLR-AMD-01,2026-11-29,Sold,1407000
VEH-00026,Tata,Tiago,XZ+,Petrol,Delhi,DLR-DEL-02,2026-10-20,Sold,647000
VEH-00027,Maruti Suzuki,Baleno,Zeta,Petrol,Delhi,DLR-DEL-02,2025-01-05,Sold,787000
VEH-00028,Skoda,Kushaq,Style,Petrol,Chennai,DLR-CHN-03,2025-04-20,Sold,1595000
VEH-00029,Kia,Seltos,HTX,Petrol,Delhi,DLR-DEL-01,2025-06-07,Sold,1471000
VEH-00030,Mahindra,Scorpio-N,Z8L,Diesel,Delhi,DLR-DEL-03,2025-01-02,Sold,2303000
VEH-00031,Hyundai,Creta,SX,Petrol,Pune,DLR-PUN-02,2025-11-12,Sold,1502000
VEH-00032,Maruti Suzuki,Swift,VXI,Petrol,Ahmedabad,DLR-AMD-01,2025-03-30,Sold,773000
VEH-00033,Mahindra,Thar,LX,Diesel,Gurgaon,DLR-GGN-01,2025-05-13,Sold,1906000
VEH-00034,MG,Hector,Sharp,Petrol,Mumbai,DLR-MUM-03,2026-09-15,Sold,2053000
VEH-00035,Volkswagen,Virtus,GT,Petrol,Gurgaon,DLR-GGN-01,2025-11-17,Sold,1584000
VEH-00036,BMW,3 Series,330Li,Petrol,Hyderabad,DLR-HYD-02,2026-06-15,Sold,5724000
VEH-00037,Maruti Suzuki,Baleno,Zeta,Petrol,Mumbai,DLR-MUM-02,2025-01-23,Sold,870000
VEH-00038,Tata,Nexon,Creative,Petrol,Hyderabad,DLR-HYD-01,2025-03-15,Sold,1342000
VEH-00039,Tata,Punch,Adventure,Petrol,Mumbai,DLR-MUM-01,2025-12-06,Sold,676000
VEH-00040,Tata,Nexon,Creative,Petrol,Mumbai,DLR-MUM-02,2025-08-09,Sold,1256000
VEH-00041,Maruti Suzuki,Baleno,Zeta,Petrol,Gurgaon,DLR-GGN-02,2025-09-07,Sold,841000
VEH-00042,Mahindra,Thar,LX,Diesel,Mumbai,DLR-MUM-01,2026-11-07,Sold,1861000
VEH-00043,Hyundai,Creta,SX(O),Diesel,Bengaluru,DLR-BLR-03,2025-02-26,Sold,1650000
VEH-00044,Maruti Suzuki,Swift,VXI,Petrol,Chennai,DLR-CHN-01,2025-09-13,Sold,698000
VEH-00045,Maruti Suzuki,Brezza,ZXI,Petrol,Delhi,DLR-DEL-02,2025-07-08,Sold,1122000
VEH-00046,Tata,Nexon,Fearless+,Electric,Ahmedabad,DLR-AMD-01,2026-03-31,Sold,1771000
VEH-00047,Maruti Suzuki,Baleno,Zeta,Petrol,Hyderabad,DLR-HYD-01,2025-04-07,Sold,780000
VEH-00048,Maruti Suzuki,Brezza,ZXI,Petrol,Delhi,DLR-DEL-01,2026-02-16,Sold,1010000
VEH-00049,Maruti Suzuki,Brezza,ZXI,Petrol,Pune,DLR-PUN-02,2025-09-30,Sold,1212000
VEH-00050,Hyundai,Creta,SX,Petrol,Chennai,DLR-CHN-03,2026-07-25,Sold,1718000
VEH-00051,Mahindra,XUV700,AX7,Diesel,Mumbai,DLR-MUM-02,2025-08-12,Sold,1949000
VEH-00052,Tata,Punch,Adventure,Petrol,Delhi,DLR-DEL-03,2025-11-19,Sold,669000
VEH-00053,Maruti Suzuki,Swift,VXI,Petrol,Delhi,DLR-DEL-03,2025-06-12,Sold,663000
VEH-00054,Volkswagen,Virtus,GT,Petrol,Pune,DLR-PUN-01,2025-03-13,Sold,1684000
VEH-00055,Maruti Suzuki,Swift,VXI,Petrol,Ahmedabad,DLR-AMD-02,2025-05-04,Sold,712000
VEH-00056,Tata,Punch,Adventure,Petrol,Pune,DLR-PUN-01,2026-03-07,Sold,907000
VEH-00057,Hyundai,Creta,SX,Petrol,Mumbai,DLR-MUM-03,2025-11-19,Sold,1502000
VEH-00058,Hyundai,Creta,SX,Petrol,Mumbai,DLR-MUM-03,2025-11-05,Sold,1614000
VEH-00059,Hyundai,Creta,SX,Petrol,Chennai,DLR-CHN-01,2025-01-11,Sold,1614000
VEH-00060,Tata,Punch,Adventure,Petrol,Delhi,DLR-DEL-01,2025-03-18,Sold,749000
VEH-00061,Tata,Nexon,Fearless+,Electric,Mumbai,DLR-MUM-02,2025-03-13,Sold,1615000
VEH-00062,Hyundai,Venue,S,Petrol,Mumbai,DLR-MUM-03,2025-11-07,Sold,1253000
VEH-00063,Skoda,Kushaq,Style,Petrol,Ahmedabad,DLR-AMD-01,2026-11-16,Sold,1596000
VEH-00064,MG,Hector,Sharp,Petrol,Pune,DLR-PUN-01,2025-09-29,Sold,1738000
VEH-00065,Toyota,Innova Hycross,ZX,Hybrid,Chennai,DLR-CHN-01,2025-10-07,Sold,2568000
VEH-00066,Tata,Punch,Adventure,Petrol,Chennai,DLR-CHN-01,2026-10-13,Sold,775000
VEH-00067,Tata,Nexon,Fearless+,Electric,Mumbai,DLR-MUM-01,2025-04-06,Sold,1814000
VEH-00068,Hyundai,i20,Asta,Petrol,Mumbai,DLR-MUM-01,2025-12-09,Sold,977000
VEH-00069,Maruti Suzuki,Baleno,Zeta,Petrol,Gurgaon,DLR-GGN-01,2026-03-30,Sold,861000
VEH-00070,Tata,Tiago,XZ+,Petrol,Delhi,DLR-DEL-01,2025-03-20,Sold,736000
VEH-00071,Honda,City,ZX,Petrol,Delhi,DLR-DEL-02,2026-08-21,Sold,1562000
VEH-00072,Maruti Suzuki,Baleno,Zeta,Petrol,Mumbai,DLR-MUM-02,2026-01-10,Sold,730000
VEH-00073,Honda,City,ZX,Petrol,Mumbai,DLR-MUM-01,2026-11-15,Sold,1332000
VEH-00074,Hyundai,Creta,SX(O),Diesel,Delhi,DLR-DEL-02,2026-09-29,Sold,1708000
VEH-00075,Honda,City,ZX,Petrol,Mumbai,DLR-MUM-01,2025-07-02,Sold,1491000
VEH-00076,Maruti Suzuki,Swift,VXI,Petrol,Chennai,DLR-CHN-02,2026-02-27,Sold,712000
VEH-00077,Hyundai,Creta,SX,Petrol,Chennai,DLR-CHN-01,2026-01-28,Sold,1826000
VEH-00078,Maruti Suzuki,Swift,VXI,Petrol,Delhi,DLR-DEL-01,2026-04-18,Sold,738000
VEH-00079,Hyundai,Creta,SX,Petrol,Chennai,DLR-CHN-01,2025-08-18,Sold,1392000
VEH-00080,Tata,Tiago,XZ+,Petrol,Bengaluru,DLR-BLR-02,2025-03-14,Sold,631000
VEH-00081,Hyundai,Creta,SX(O),Diesel,Delhi,DLR-DEL-03,2026-07-05,Sold,1889000
VEH-00082,MG,Hector,Sharp,Petrol,Pune,DLR-PUN-02,2025-07-03,Sold,2214000
VEH-00083,Volkswagen,Virtus,GT,Petrol,Mumbai,DLR-MUM-01,2026-09-04,Sold,1602000
VEH-00084,Hyundai,Creta,SX(O),Diesel,Chennai,DLR-CHN-02,2026-09-14,Sold,2073000
VEH-00085,Maruti Suzuki,Baleno,Zeta,Petrol,Gurgaon,DLR-GGN-01,2025-09-19,Sold,731000
VEH-00086,Tata,Tiago,XZ+,Petrol,Pune,DLR-PUN-03,2026-11-19,Sold,610000
VEH-00087,Hyundai,Creta,SX(O),Diesel,Pune,DLR-PUN-03,2025-12-06,Sold,1871000
VEH-00088,Tata,Tiago,XZ+,Petrol,Mumbai,DLR-MUM-02,2026-06-05,Sold,639000
VEH-00089,Tata,Tiago,XZ+,Petrol,Bengaluru,DLR-BLR-03,2025-10-31,Sold,701000
VEH-00090,Maruti Suzuki,Baleno,Zeta,Petrol,Delhi,DLR-DEL-02,2026-11-26,Sold,764000
VEH-00091,Tata,Punch,Adventure,Petrol,Bengaluru,DLR-BLR-03,2025-01-02,Sold,795000
VEH-00092,Hyundai,Creta,SX,Petrol,Delhi,DLR-DEL-03,2026-09-15,Sold,1715000
VEH-00093,Hyundai,Creta,SX,Petrol,Delhi,DLR-DEL-03,2025-08-08,Sold,1641000
VEH-00094,Tata,Nexon,Fearless+,Electric,Gurgaon,DLR-GGN-01,2026-11-07,Sold,1533000
VEH-00095,Hyundai,Creta,SX,Petrol,Hyderabad,DLR-HYD-02,2025-04-07,Sold,1799000
VEH-00096,Volkswagen,Virtus,GT,Petrol,Mumbai,DLR-MUM-02,2025-08-20,Sold,1792000
VEH-00097,Maruti Suzuki,Brezza,ZXI,Petrol,Pune,DLR-PUN-01,2026-05-03,Sold,1017000
VEH-00098,Hyundai,i20,Asta,Petrol,Ahmedabad,DLR-AMD-01,2026-01-30,Sold,906000
VEH-00099,Hyundai,Venue,S,Petrol,Mumbai,DLR-MUM-03,2025-01-07,Sold,994000
VEH-00100,Mahindra,Scorpio-N,Z8L,Diesel,Mumbai,DLR-MUM-03,2026-06-16,Sold,2165000
VEH-00101,Maruti Suzuki,Swift,VXI,Petrol,Mumbai,DLR-MUM-01,2026-04-14,Sold,683000
VEH-00102,Mahindra,Thar,LX,Diesel,Hyderabad,DLR-HYD-02,2026-03-31,Sold,1936000
VEH-00103,Hyundai,i20,Asta,Petrol,Gurgaon,DLR-GGN-02,2025-06-13,Sold,970000
VEH-00104,Kia,Seltos,HTX,Petrol,Delhi,DLR-DEL-01,2026-10-16,Sold,1421000
VEH-00105,Mahindra,Scorpio-N,Z8L,Diesel,Delhi,DLR-DEL-03,2025-09-03,Sold,1971000
VEH-00106,Hyundai,i20,Asta,Petrol,Chennai,DLR-CHN-01,2025-10-07,Sold,865000
VEH-00107,Hyundai,Creta,SX,Petrol,Delhi,DLR-DEL-01,2025-06-05,Sold,1498000
VEH-00108,Hyundai,Venue,S,Petrol,Mumbai,DLR-MUM-01,2025-03-08,Sold,1152000
VEH-00109,Hyundai,Venue,S,Petrol,Delhi,DLR-DEL-02,2025-03-06,Sold,1045000
VEH-00110,Kia,Seltos,HTX,Petrol,Bengaluru,DLR-BLR-03,2025-01-22,Sold,1718000
VEH-00111,Toyota,Innova Hycross,ZX,Hybrid,Hyderabad,DLR-HYD-02,2025-01-08,Sold,3245000
VEH-00112,Hyundai,Creta,SX(O),Diesel,Chennai,DLR-CHN-02,2026-07-07,Sold,1775000
VEH-00113,Tata,Nexon,Fearless+,Electric,Mumbai,DLR-MUM-02,2025-01-31,Sold,1689000
VEH-00114,Hyundai,Creta,SX(O),Diesel,Hyderabad,DLR-HYD-02,2025-06-20,Sold,2028000
VEH-00115,Honda,City,ZX,Petrol,Gurgaon,DLR-GGN-01,2026-02-09,Sold,1583000
VEH-00116,Tata,Punch,Adventure,Petrol,Pune,DLR-PUN-03,2026-03-16,Sold,709000
VEH-00117,Kia,Seltos,HTX,Petrol,Mumbai,DLR-MUM-02,2026-01-25,Sold,1447000
VEH-00118,Maruti Suzuki,Ertiga,ZXI+,CNG,Bengaluru,DLR-BLR-02,2025-10-13,Sold,1205000
VEH-00119,Maruti Suzuki,Ertiga,ZXI+,CNG,Pune,DLR-PUN-01,2026-07-08,Sold,1016000
VEH-00120,BMW,3 Series,330Li,Petrol,Bengaluru,DLR-BLR-03,2025-03-13,Sold,4882000
VEH-00121,Mahindra,XUV700,AX7,Diesel,Gurgaon,DLR-GGN-01,2025-01-22,Sold,2526000
VEH-00122,Maruti Suzuki,Brezza,ZXI,Petrol,Mumbai,DLR-MUM-03,2025-04-29,Sold,1268000
VEH-00123,Volkswagen,Virtus,GT,Petrol,Delhi,DLR-DEL-02,2026-01-14,Sold,1465000
VEH-00124,Tata,Punch,Adventure,Petrol,Gurgaon,DLR-GGN-01,2025-06-18,Sold,799000
VEH-00125,Maruti Suzuki,Baleno,Zeta,Petrol,Pune,DLR-PUN-02,2026-08-14,Sold,816000
VEH-00126,Hyundai,Venue,S,Petrol,Chennai,DLR-CHN-01,2026-08-31,Sold,1261000
VEH-00127,Maruti Suzuki,Ertiga,ZXI+,CNG,Chennai,DLR-CHN-02,2026-09-08,Sold,1051000
VEH-00128,Mahindra,Thar,LX,Diesel,Delhi,DLR-DEL-01,2025-12-23,Sold,1965000
VEH-00129,Hyundai,i20,Asta,Petrol,Bengaluru,DLR-BLR-03,2026-10-27,Sold,867000
VEH-00130,Maruti Suzuki,Swift,VXI,Petrol,Delhi,DLR-DEL-02,2025-04-20,Sold,759000
VEH-00131,Volkswagen,Virtus,GT,Petrol,Hyderabad,DLR-HYD-02,2025-06-07,Sold,1602000
VEH-00132,Maruti Suzuki,Brezza,ZXI,Petrol,Delhi,DLR-DEL-03,2025-10-05,Sold,1255000
VEH-00133,Mahindra,Scorpio-N,Z8L,Diesel,Delhi,DLR-DEL-03,2026-08-31,Sold,1964000
VEH-00134,Hyundai,Creta,SX,Petrol,Mumbai,DLR-MUM-01,2025-10-14,Sold,1831000
VEH-00135,Hyundai,i20,Asta,Petrol,Chennai,DLR-CHN-03,2026-09-18,Sold,951000
VEH-00136,Hyundai,Venue,S,Petrol,Pune,DLR-PUN-02,2025-07-07,Sold,1189000
VEH-00137,Maruti Suzuki,Ertiga,ZXI+,CNG,Chennai,DLR-CHN-02,2025-10-15,Sold,1131000
VEH-00138,Tata,Nexon,Creative,Petrol,Delhi,DLR-DEL-01,2025-03-30,Sold,1103000
VEH-00139,Mahindra,XUV700,AX7,Diesel,Delhi,DLR-DEL-01,2026-05-04,Sold,2551000
VEH-00140,Tata,Tiago,XZ+,Petrol,Delhi,DLR-DEL-01,2025-04-07,Sold,635000
VEH-00141,Maruti Suzuki,Ertiga,ZXI+,CNG,Chennai,DLR-CHN-02,2026-11-12,Sold,1287000
VEH-00142,Hyundai,Venue,S,Petrol,Delhi,DLR-DEL-02,2026-03-13,Sold,1221000
VEH-00143,Hyundai,Creta,SX(O),Diesel,Chennai,DLR-CHN-02,2025-11-11,Sold,1807000
VEH-00144,Maruti Suzuki,Ertiga,ZXI+,CNG,Chennai,DLR-CHN-02,2025-05-04,Sold,1264000
VEH-00145,Volkswagen,Virtus,GT,Petrol,Chennai,DLR-CHN-01,2025-08-11,Sold,1758000
VEH-00146,Tata,Nexon,Fearless+,Electric,Chennai,DLR-CHN-03,2026-09-05,Sold,1634000
VEH-00147,Skoda,Kushaq,Style,Petrol,Ahmedabad,DLR-AMD-02,2025-08-22,Sold,1659000
VEH-00148,Maruti Suzuki,Brezza,ZXI,Petrol,Pune,DLR-PUN-03,2025-05-11,Sold,1120000
VEH-00149,Maruti Suzuki,Swift,VXI,Petrol,Pune,DLR-PUN-02,2025-05-11,Sold,774000
VEH-00150,Maruti Suzuki,Baleno,Zeta,Petrol,Pune,DLR-PUN-02,2026-04-27,Sold,842000
VEH-00151,Hyundai,i20,Asta,Petrol,Mumbai,DLR-MUM-01,2025-09-17,Sold,902000
VEH-00152,Maruti Suzuki,Baleno,Zeta,Petrol,Pune,DLR-PUN-02,2025-03-18,Sold,867000
VEH-00153,Tata,Punch,Adventure,Petrol,Pune,DLR-PUN-01,2026-08-01,Sold,795000
VEH-00154,Maruti Suzuki,Swift,VXI,Petrol,Mumbai,DLR-MUM-03,2026-03-04,Sold,706000
VEH-00155,Mahindra,Scorpio-N,Z8L,Diesel,Bengaluru,DLR-BLR-02,2025-11-02,Sold,2292000
VEH-00156,BMW,3 Series,330Li,Petrol,Bengaluru,DLR-BLR-03,2025-03-04,Sold,5003000
VEH-00157,Volkswagen,Virtus,GT,Petrol,Mumbai,DLR-MUM-01,2025-09-29,Sold,1718000
VEH-00158,Maruti Suzuki,Swift,VXI,Petrol,Mumbai,DLR-MUM-03,2025-03-19,Sold,689000
VEH-00159,Maruti Suzuki,Swift,VXI,Petrol,Delhi,DLR-DEL-03,2026-04-28,Sold,723000
VEH-00160,Maruti Suzuki,Swift,VXI,Petrol,Bengaluru,DLR-BLR-02,2026-04-11,Sold,667000
VEH-00161,Tata,Tiago,XZ+,Petrol,Gurgaon,DLR-GGN-01,2026-03-13,Sold,589000
VEH-00162,Tata,Nexon,Creative,Petrol,Hyderabad,DLR-HYD-02,2025-05-27,Sold,1016000
VEH-00163,Maruti Suzuki,Swift,VXI,Petrol,Chennai,DLR-CHN-03,2026-08-07,Sold,722000
VEH-00164,Hyundai,i20,Asta,Petrol,Delhi,DLR-DEL-02,2026-02-18,Sold,849000
VEH-00165,Tata,Nexon,Fearless+,Electric,Delhi,DLR-DEL-01,2026-09-06,Sold,1510000
VEH-00166,Toyota,Innova Hycross,ZX,Hybrid,Chennai,DLR-CHN-03,2025-09-15,Sold,2306000
VEH-00167,Maruti Suzuki,Baleno,Zeta,Petrol,Gurgaon,DLR-GGN-01,2026-11-21,Sold,788000
VEH-00168,Tata,Punch,Adventure,Petrol,Chennai,DLR-CHN-01,2026-04-28,Sold,905000
VEH-00169,Tata,Tiago,XZ+,Petrol,Gurgaon,DLR-GGN-01,2026-08-24,Sold,671000
VEH-00170,Tata,Punch,Adventure,Petrol,Delhi,DLR-DEL-01,2026-04-28,Sold,818000
VEH-00171,Hyundai,Venue,S,Petrol,Bengaluru,DLR-BLR-01,2025-06-15,Sold,1108000
VEH-00172,Hyundai,Venue,S,Petrol,Delhi,DLR-DEL-03,2026-02-16,Sold,1221000
VEH-00173,Maruti Suzuki,Swift,VXI,Petrol,Pune,DLR-PUN-02,2025-11-29,Sold,678000
VEH-00174,Skoda,Kushaq,Style,Petrol,Bengaluru,DLR-BLR-03,2025-01-03,Sold,1763000
VEH-00175,Hyundai,Venue,S,Petrol,Mumbai,DLR-MUM-02,2026-10-01,Sold,1195000
VEH-00176,Tata,Punch,Adventure,Petrol,Chennai,DLR-CHN-01,2025-10-02,Sold,707000
VEH-00177,MG,Hector,Sharp,Petrol,Delhi,DLR-DEL-03,2026-05-13,Sold,1744000
VEH-00178,Maruti Suzuki,Swift,VXI,Petrol,Hyderabad,DLR-HYD-01,2025-06-13,Sold,728000
VEH-00179,Tata,Nexon,Creative,Petrol,Delhi,DLR-DEL-01,2025-08-20,Sold,1038000
VEH-00180,Tata,Nexon,Fearless+,Electric,Pune,DLR-PUN-01,2026-05-27,Sold,1856000
VEH-00181,Hyundai,Creta,SX,Petrol,Chennai,DLR-CHN-02,2026-05-11,Sold,1881000
VEH-00182,Tata,Nexon,Fearless+,Electric,Delhi,DLR-DEL-01,2026-01-29,Sold,1587000
VEH-00183,Honda,City,ZX,Petrol,Delhi,DLR-DEL-01,2025-03-14,Sold,1421000
VEH-00184,Mahindra,Scorpio-N,Z8L,Diesel,Ahmedabad,DLR-AMD-02,2026-06-05,Sold,1963000
VEH-00185,Mahindra,Thar,LX,Diesel,Bengaluru,DLR-BLR-02,2026-08-26,Sold,1921000
VEH-00186,Kia,Seltos,HTX,Petrol,Delhi,DLR-DEL-02,2025-12-21,Sold,1450000
VEH-00187,Tata,Nexon,Creative,Petrol,Delhi,DLR-DEL-02,2025-11-27,Sold,1076000
VEH-00188,Skoda,Kushaq,Style,Petrol,Mumbai,DLR-MUM-02,2025-08-29,Sold,1710000
VEH-00189,Maruti Suzuki,Swift,VXI,Petrol,Chennai,DLR-CHN-03,2026-01-27,Sold,747000
VEH-00190,BMW,3 Series,330Li,Petrol,Chennai,DLR-CHN-03,2025-06-06,Sold,5814000
VEH-00191,Volkswagen,Virtus,GT,Petrol,Mumbai,DLR-MUM-03,2025-12-07,Sold,1825000
VEH-00192,Maruti Suzuki,Baleno,Zeta,Petrol,Ahmedabad,DLR-AMD-01,2026-06-24,Sold,836000
VEH-00193,Maruti Suzuki,Swift,VXI,Petrol,Mumbai,DLR-MUM-03,2025-06-09,Sold,668000
VEH-00194,Tata,Nexon,Fearless+,Electric,Gurgaon,DLR-GGN-02,2026-10-02,Sold,1844000
VEH-00195,Hyundai,Venue,S,Petrol,Pune,DLR-PUN-02,2026-11-23,Sold,1213000
VEH-00196,Hyundai,Venue,S,Petrol,Bengaluru,DLR-BLR-03,2026-05-16,Sold,1217000
VEH-00197,Maruti Suzuki,Swift,VXI,Petrol,Pune,DLR-PUN-03,2025-10-23,Sold,707000
VEH-00198,Mahindra,XUV700,AX7,Diesel,Delhi,DLR-DEL-01,2026-10-12,Sold,2610000
VEH-00199,Toyota,Innova Hycross,ZX,Hybrid,Delhi,DLR-DEL-03,2025-11-04,Sold,3205000
VEH-00200,Maruti Suzuki,Swift,VXI,Petrol,Bengaluru,DLR-BLR-01,2025-10-29,Sold,740000
VEH-00201,Hyundai,Venue,S,Petrol,Mumbai,DLR-MUM-03,2026-02-27,Sold,1229000
VEH-00202,Tata,Tiago,XZ+,Petrol,Mumbai,DLR-MUM-01,2025-03-23,Sold,716000
VEH-00203,Toyota,Innova Hycross,ZX,Hybrid,Hyderabad,DLR-HYD-01,2026-05-26,Sold,3214000
VEH-00204,Tata,Punch,Adventure,Petrol,Mumbai,DLR-MUM-03,2025-09-19,Sold,875000
VEH-00205,Maruti Suzuki,Ertiga,ZXI+,CNG,Pune,DLR-PUN-02,2025-10-23,Sold,1269000
VEH-00206,Maruti Suzuki,Brezza,ZXI,Petrol,Delhi,DLR-DEL-02,2026-08-26,Sold,1133000
VEH-00207,Tata,Tiago,XZ+,Petrol,Delhi,DLR-DEL-02,2026-04-14,Sold,637000
VEH-00208,Maruti Suzuki,Brezza,ZXI,Petrol,Bengaluru,DLR-BLR-02,2025-04-21,Sold,1101000
VEH-00209,Hyundai,Venue,S,Petrol,Bengaluru,DLR-BLR-02,2025-10-31,Sold,951000
VEH-00210,Skoda,Kushaq,Style,Petrol,Hyderabad,DLR-HYD-02,2025-01-10,Sold,1340000
VEH-00211,Honda,City,ZX,Petrol,Chennai,DLR-CHN-02,2025-08-25,Sold,1590000
VEH-00212,Mahindra,Thar,LX,Diesel,Mumbai,DLR-MUM-01,2026-09-29,Sold,1676000
VEH-00213,Tata,Tiago,XZ+,Petrol,Chennai,DLR-CHN-03,2025-05-22,Sold,720000
VEH-00214,Maruti Suzuki,Baleno,Zeta,Petrol,Hyderabad,DLR-HYD-01,2025-11-14,Sold,832000
VEH-00215,Maruti Suzuki,Swift,VXI,Petrol,Bengaluru,DLR-BLR-01,2025-04-04,Sold,724000
VEH-00216,Hyundai,Creta,SX,Petrol,Bengaluru,DLR-BLR-01,2025-05-17,Sold,1782000
VEH-00217,Tata,Nexon,Creative,Petrol,Gurgaon,DLR-GGN-02,2025-06-19,Sold,1111000
VEH-00218,Honda,City,ZX,Petrol,Gurgaon,DLR-GGN-02,2025-12-14,Sold,1338000
VEH-00219,Tata,Nexon,Fearless+,Electric,Pune,DLR-PUN-01,2026-11-25,Sold,1860000
VEH-00220,Tata,Tiago,XZ+,Petrol,Bengaluru,DLR-BLR-03,2026-01-11,Sold,583000
VEH-00221,Mahindra,Thar,LX,Diesel,Pune,DLR-PUN-03,2025-05-08,Sold,1885000
VEH-00222,Hyundai,Venue,S,Petrol,Chennai,DLR-CHN-02,2026-08-23,Sold,1135000
VEH-00223,Kia,Seltos,HTX,Petrol,Gurgaon,DLR-GGN-01,2026-11-24,Sold,1399000
VEH-00224,Tata,Nexon,Fearless+,Electric,Hyderabad,DLR-HYD-02,2026-09-18,Sold,1603000
VEH-00225,Tata,Tiago,XZ+,Petrol,Hyderabad,DLR-HYD-02,2025-11-07,Sold,726000
VEH-00226,Hyundai,Venue,S,Petrol,Mumbai,DLR-MUM-01,2025-11-09,Sold,1192000
VEH-00227,Maruti Suzuki,Baleno,Zeta,Petrol,Mumbai,DLR-MUM-03,2025-05-20,Sold,819000
VEH-00228,Hyundai,i20,Asta,Petrol,Hyderabad,DLR-HYD-02,2026-08-26,Sold,970000
VEH-00229,Mahindra,XUV700,AX7,Diesel,Ahmedabad,DLR-AMD-01,2026-05-18,Sold,2520000
VEH-00230,Hyundai,Venue,S,Petrol,Gurgaon,DLR-GGN-01,2026-01-16,Sold,1051000
VEH-00231,Hyundai,i20,Asta,Petrol,Gurgaon,DLR-GGN-02,2025-04-13,Sold,955000
VEH-00232,Hyundai,Creta,SX(O),Diesel,Gurgaon,DLR-GGN-02,2025-03-05,Sold,1957000
VEH-00233,Hyundai,Creta,SX,Petrol,Gurgaon,DLR-GGN-02,2025-04-05,Sold,1719000
VEH-00234,Maruti Suzuki,Ertiga,ZXI+,CNG,Hyderabad,DLR-HYD-01,2025-02-22,Sold,1160000
VEH-00235,Maruti Suzuki,Ertiga,ZXI+,CNG,Mumbai,DLR-MUM-03,2025-07-31,Sold,1025000
VEH-00236,Kia,Seltos,HTX,Petrol,Delhi,DLR-DEL-03,2025-08-11,Sold,1696000
VEH-00237,Toyota,Innova Hycross,ZX,Hybrid,Bengaluru,DLR-BLR-01,2026-09-04,Sold,2282000
VEH-00238,Hyundai,Creta,SX,Petrol,Gurgaon,DLR-GGN-01,2026-07-09,Sold,1508000
VEH-00239,Mahindra,Thar,LX,Diesel,Pune,DLR-PUN-01,2025-05-16,Sold,1435000
VEH-00240,Hyundai,Creta,SX(O),Diesel,Chennai,DLR-CHN-03,2025-11-29,Sold,1566000
VEH-00241,Maruti Suzuki,Brezza,ZXI,Petrol,Pune,DLR-PUN-03,2026-03-09,Sold,1249000
