sale_id,customer_id,vehicle_id,sale_date,brand,model,location,dealer_id,selling_price,trade_in_used
SAL-00018,CUS-00018,VEH-04950,2025-02-02,Kia,Seltos,Bengaluru,DLR-BLR-03,1639000,false
SAL-00019,CUS-00019,VEH-04684,2026-03-30,Mahindra,Scorpio-N,Bengaluru,DLR-BLR-03,1801000,false
SAL-00020,CUS-00020,VEH-03107,2025-09-27,Hyundai,Creta,Bengaluru,DLR-BLR-01,1982000,false
SAL-00021,CUS-00021,VEH-03340,2025-11-01,Maruti Suzuki,Baleno,Ahmedabad,DLR-AMD-02,802000,false
SAL-00022,CUS-00022,VEH-00325,2025-12-11,Hyundai,i20,Chennai,DLR-CHN-01,789000,true
SAL-00023,CUS-00023,VEH-01841,2025-07-20,BMW,3 Series,Mumbai,DLR-MUM-03,5392000,true
SAL-00024,CUS-00024,VEH-00658,2026-10-04,Maruti Suzuki,Brezza,Chennai,DLR-CHN-03,971000,false
SAL-00025,CUS-00025,VEH-01603,2025-12-13,Hyundai,i20,Delhi,DLR-DEL-01,951000,true
SAL-00026,CUS-00026,VEH-04359,2026-08-14,Hyundai,Creta,Ahmedabad,DLR-AMD-02,1393000,false
SAL-00027,CUS-00027,VEH-02071,2026-03-26,Honda,City,Hyderabad,DLR-HYD-01,1530000,true
SAL-00028,CUS-00028,VEH-01764,2026-02-20,Tata,Nexon,Delhi,DLR-DEL-02,1777000,false
SAL-00029,CUS-00029,VEH-02063,2025-08-18,Maruti Suzuki,Baleno,Chennai,DLR-CHN-02,780000,true
SAL-00030,CUS-00030,VEH-01377,2026-06-21,Tata,Punch,Chennai,DLR-CHN-03,863000,true
SAL-00031,CUS-00031,VEH-01132,2026-05-28,Skoda,Kushaq,Gurgaon,DLR-GGN-02,1530000,false
SAL-00032,CUS-00032,VEH-02012,2026-12-20,Mahindra,Scorpio-N,Ahmedabad,DLR-AMD-01,2157000,true
SAL-00033,CUS-00033,VEH-03980,2025-03-24,Tata,Nexon,Chennai,DLR-CHN-03,1791000,false
SAL-00034,CUS-00034,VEH-03486,2026-02-02,Maruti Suzuki,Swift,Ahmedabad,DLR-AMD-01,744000,true
SAL-00035,CUS-00035,VEH-00923,2026-07-28,Tata,Nexon,Bengaluru,DLR-BLR-01,1189000,false
SAL-00036,CUS-00036,VEH-02199,2026-05-19,Tata,Tiago,Ahmedabad,DLR-AMD-02,584000,false
SAL-00037,CUS-00037,VEH-01622,2026-03-01,Mahindra,Scorpio-N,Pune,DLR-PUN-02,2012000,false
SAL-00038,CUS-00038,VEH-01839,2026-06-11,Maruti Suzuki,Swift,Pune,DLR-PUN-03,752000,false
SAL-00039,CUS-00039,VEH-02747,2025-06-14,Mahindra,Scorpio-N,Pune,DLR-PUN-02,2088000,true
SAL-00040,CUS-00040,VEH-04360,2026-10-01,Mahindra,Scorpio-N,Pune,DLR-PUN-03,2250000,true
SAL-00041,CUS-00041,VEH-03293,2026-01-08,Mahindra,Thar,Delhi,DLR-DEL-02,1878000,false
SAL-00042,CUS-00042,VEH-00736,2025-10-12,Maruti Suzuki,Swift,Ahmedabad,DLR-AMD-02,667000,true
SAL-00043,CUS-00043,VEH-02263,2026-02-11,Mahindra,Thar,Bengaluru,DLR-BLR-02,1938000,true
SAL-00044,CUS-00044,VEH-03490,2026-11-17,Mahindra,XUV700,Bengaluru,DLR-BLR-01,2614000,true
SAL-00045,CUS-00045,VEH-04388,2026-12-20,Maruti Suzuki,Swift,Mumbai,DLR-MUM-01,699000,true
SAL-00046,CUS-00046,VEH-03779,2025-10-14,Tata,Punch,Ahmedabad,DLR-AMD-02,679000,true
SAL-00047,CUS-00047,VEH-03789,2026-11-30,MG,Hector,Delhi,DLR-DEL-02,2263000,false
SAL-00048,CUS-00048,VEH-00731,2025-07-08,Tata,Nexon,Bengaluru,DLR-BLR-02,1042000,true
SAL-00049,CUS-00049,VEH-02508,2025-10-01,Maruti Suzuki,Brezza,Bengaluru,DLR-BLR-03,1152000,false
SAL-00050,CUS-00050,VEH-02182,2025-11-28,Tata,Nexon,Mumbai,DLR-MUM-02,1286000,false
SAL-00051,CUS-00051,VEH-04403,2025-03-17,Hyundai,Creta,Gurgaon,DLR-GGN-01,1569000,true
SAL-00052,CUS-00052,VEH-00227,2025-05-26,Maruti Suzuki,Baleno,Mumbai,DLR-MUM-03,833000,true
SAL-00053,CUS-00053,VEH-03472,2026-08-02,Maruti Suzuki,Baleno,Mumbai,DLR-MUM-03,839000,false
SAL-00054,CUS-00054,VEH-03563,2026-12-20,Mahindra,XUV700,Mumbai,DLR-MUM-03,2175000,false
SAL-00055,CUS-00055,VEH-00082,2025-09-01,MG,Hector,Pune,DLR-PUN-02,2174000,false
SAL-00056,CUS-00056,VEH-01440,2026-04-23,Maruti Suzuki,Brezza,Bengaluru,DLR-BLR-02,1051000,true
SAL-00057,CUS-00057,VEH-01795,2025-09-13,Maruti Suzuki,Swift,Gurgaon,DLR-GGN-02,711000,true
SAL-00058,CUS-00058,VEH-02314,2025-11-18,Hyundai,Venue,Delhi,DLR-DEL-01,1172000,false
SAL-00059,CUS-00059,VEH-02913,2025-10-18,Tata,Tiago,Delhi,DLR-DEL-03,556000,false
SAL-00060,CUS-00060,VEH-04973,2025-11-16,Maruti Suzuki,Brezza,Gurgaon,DLR-GGN-02,1122000,true
SAL-00061,CUS-00061,VEH-04420,2025-03-01,Mahindra,Thar,Chennai,DLR-CHN-01,1953000,true
SAL-00062,CUS-00062,VEH-04832,2026-04-11,Mahindra,XUV700,Ahmedabad,DLR-AMD-02,2161000,true
SAL-00063,CUS-00063,VEH-00419,2025-11-02,Maruti Suzuki,Baleno,Chennai,DLR-CHN-01,719000,false
SAL-00064,CUS-00064,VEH-03954,2025-08-29,Skoda,Kushaq,Hyderabad,DLR-HYD-02,1733000,true
SAL-00065,CUS-00065,VEH-04694,2026-02-08,Maruti Suzuki,Ertiga,Pune,DLR-PUN-02,1081000,true
SAL-00066,CUS-00066,VEH-01216,2026-01-16,Hyundai,Creta,Mumbai,DLR-MUM-03,1888000,true
SAL-00067,CUS-00067,VEH-01963,2026-08-26,Tata,Tiago,Delhi,DLR-DEL-03,695000,true
SAL-00068,CUS-00068,VEH-04075,2026-02-03,Maruti Suzuki,Ertiga,Bengaluru,DLR-BLR-01,1273000,false
SAL-00069,CUS-00069,VEH-02826,2026-11-09,Tata,Tiago,Delhi,DLR-DEL-02,680000,false
SAL-00070,CUS-00070,VEH-02987,2026-11-12,Maruti Suzuki,Swift,Pune,DLR-PUN-02,678000,true
SAL-00071,CUS-00071,VEH-00594,2025-04-21,Tata,Punch,Delhi,DLR-DEL-02,670000,true
SAL-00072,CUS-00072,VEH-04638,2025-02-19,Maruti Suzuki,Baleno,Bengaluru,DLR-BLR-02,875000,true
SAL-00073,CUS-00073,VEH-03222,2025-12-21,Maruti Suzuki,Swift,Bengaluru,DLR-BLR-01,780000,false
SAL-00074,CUS-00074,VEH-00413,2026-04-19,Tata,Tiago,Delhi,DLR-DEL-02,703000,false
SAL-00075,CUS-00075,VEH-02526,2026-08-30,Tata,Punch,Bengaluru,DLR-BLR-02,825000,false
SAL-00076,CUS-00076,VEH-01297,2025-11-16,MG,Hector,Bengaluru,DLR-BLR-03,1990000,true
SAL-00077,CUS-00077,VEH-00627,2026-07-02,Tata,Tiago,Chennai,DLR-CHN-01,655000,false
SAL-00078,CUS-00078,VEH-01189,2025-06-26,Tata,Punch,Bengaluru,DLR-BLR-02,719000,true
SAL-00079,CUS-00079,VEH-03522,2025-07-27,Mahindra,Thar,Ahmedabad,DLR-AMD-01,1490000,false
SAL-00080,CUS-00080,VEH-04741,2026-11-01,Hyundai,Creta,Gurgaon,DLR-GGN-01,1796000,true
SAL-00081,CUS-00081,VEH-02376,2026-05-19,Tata,Punch,Delhi,DLR-DEL-02,883000,true
SAL-00082,CUS-00082,VEH-03216,2026-01-20,Tata,Nexon,Mumbai,DLR-MUM-01,1077000,false
SAL-00083,CUS-00083,VEH-03242,2026-07-29,Tata,Punch,Bengaluru,DLR-BLR-01,678000,false
SAL-00084,CUS-00084,VEH-00667,2025-06-13,Maruti Suzuki,Brezza,Hyderabad,DLR-HYD-01,1142000,false
SAL-00085,CUS-00085,VEH-01710,2026-12-20,Tata,Tiago,Delhi,DLR-DEL-01,582000,true
SAL-00086,CUS-00086,VEH-04243,2025-06-29,Maruti Suzuki,Ertiga,Mumbai,DLR-MUM-03,1032000,true
SAL-00087,CUS-00087,VEH-03034,2025-12-04,Mahindra,Scorpio-N,Gurgaon,DLR-GGN-02,2292000,false
SAL-00088,CUS-00088,VEH-00899,2026-01-19,Maruti Suzuki,Baleno,Chennai,DLR-CHN-02,803000,false
SAL-00089,CUS-00089,VEH-03614,2025-09-19,Kia,Seltos,Chennai,DLR-CHN-01,1570000,true
SAL-00090,CUS-00090,VEH-02047,2025-04-09,Hyundai,Venue,Hyderabad,DLR-HYD-02,1239000,false
SAL-00091,CUS-00091,VEH-04869,2026-07-12,Maruti Suzuki,Swift,Mumbai,DLR-MUM-03,675000,true
SAL-00092,CUS-00092,VEH-04847,2026-01-16,Hyundai,i20,Hyderabad,DLR-HYD-02,825000,true
SAL-00093,CUS-00093,VEH-03238,2025-08-17,Hyundai,Creta,Bengaluru,DLR-BLR-03,1585000,true
SAL-00094,CUS-00094,VEH-00442,2026-09-13,Hyundai,Venue,Delhi,DLR-DEL-02,1278000,false
SAL-00095,CUS-00095,VEH-04969,2026-05-28,Skoda,Kushaq,Chennai,DLR-CHN-03,1289000,true
SAL-00096,CUS-00096,VEH-04007,2026-12-03,BMW,3 Series,Delhi,DLR-DEL-03,5016000,true
SAL-00097,CUS-00097,VEH-01285,2025-12-25,Tata,Tiago,Hyderabad,DLR-HYD-02,603000,false
SAL-00098,CUS-00098,VEH-02494,2025-06-04,Hyundai,Creta,Ahmedabad,DLR-AMD-01,1695000,false
SAL-00099,CUS-00099,VEH-03703,2026-06-20,Kia,Seltos,Gurgaon,DLR-GGN-02,1312000,false
SAL-00100,CUS-00100,VEH-04962,2025-01-26,Maruti Suzuki,Swift,Delhi,DLR-DEL-02,662000,true
SAL-00101,CUS-00101,VEH-04316,2026-12-15,Tata,Tiago,Gurgaon,DLR-GGN-01,707000,false
SAL-00102,CUS-00102,VEH-00509,2025-05-24,Tata,Tiago,Mumbai,DLR-MUM-02,593000,true
SAL-00103,CUS-00103,VEH-01781,2025-10-17,BMW,3 Series,Gurgaon,DLR-GGN-02,5224000,true
SAL-00104,CUS-00104,VEH-04634,2026-08-18,Volkswagen,Virtus,Bengaluru,DLR-BLR-02,1424000,false
SAL-00105,CUS-00105,VEH-02638,2026-02-28,Maruti Suzuki,Brezza,Mumbai,DLR-MUM-03,1231000,false
SAL-00106,CUS-00106,VEH-00952,2026-09-10,Tata,Nexon,Mumbai,DLR-MUM-02,1158000,false
SAL-00107,CUS-00107,VEH-01765,2026-09-02,Tata,Tiago,Chennai,DLR-CHN-02,611000,true
SAL-00108,CUS-00108,VEH-02830,2026-01-16,Toyota,Innova Hycross,Bengaluru,DLR-BLR-03,2625000,false
SAL-00109,CUS-00109,VEH-04115,2026-11-21,Maruti Suzuki,Swift,Mumbai,DLR-MUM-01,653000,false
SAL-00110,CUS-00110,VEH-02573,2026-04-18,Mahindra,Scorpio-N,Gurgaon,DLR-GGN-01,2150000,true
SAL-00111,CUS-00111,VEH-04917,2026-05-22,Tata,Nexon,Delhi,DLR-DEL-02,1261000,true
SAL-00112,CUS-00112,VEH-03943,2026-04-20,MG,Hector,Pune,DLR-PUN-03,1845000,true
SAL-00113,CUS-00113,VEH-01437,2026-10-28,Tata,Tiago,Gurgaon,DLR-GGN-01,556000,true
SAL-00114,CUS-00114,VEH-01446,2025-07-30,Honda,City,Ahmedabad,DLR-AMD-02,1305000,false
SAL-00115,CUS-00115,VEH-03316,2026-08-11,Mahindra,Scorpio-N,Ahmedabad,DLR-AMD-02,1986000,false
SAL-00116,CUS-00116,VEH-00946,2026-10-04,Maruti Suzuki,Swift,Chennai,DLR-CHN-01,753000,false
SAL-00117,CUS-00117,VEH-03439,2026-02-09,Mahindra,XUV700,Gurgaon,DLR-GGN-02,2557000,false
SAL-00118,CUS-00118,VEH-03855,2026-09-26,Tata,Tiago,Gurgaon,DLR-GGN-01,541000,true
SAL-00119,CUS-00119,VEH-02173,2026-10-21,Maruti Suzuki,Brezza,Hyderabad,DLR-HYD-01,1173000,true
SAL-00120,CUS-00120,VEH-00840,2026-09-21,Honda,City,Chennai,DLR-CHN-01,1330000,true
SAL-00121,CUS-00121,VEH-02975,2025-11-26,Honda,City,Pune,DLR-PUN-01,1378000,false
SAL-00122,CUS-00122,VEH-00127,2026-11-15,Maruti Suzuki,Ertiga,Chennai,DLR-CHN-02,1030000,false
SAL-00123,CUS-00123,VEH-03361,2025-06-27,Maruti Suzuki,Brezza,Delhi,DLR-DEL-02,1171000,true
SAL-00124,CUS-00124,VEH-01746,2025-10-06,Maruti Suzuki,Ertiga,Pune,DLR-PUN-01,1239000,false
SAL-00125,CUS-00125,VEH-00993,2025-07-09,Hyundai,Creta,Bengaluru,DLR-BLR-02,1644000,false
SAL-00126,CUS-00126,VEH-04147,2025-09-12,Maruti Suzuki,Brezza,Ahmedabad,DLR-AMD-02,1142000,false
SAL-00127,CUS-00127,VEH-00270,2026-02-16,Tata,Nexon,Bengaluru,DLR-BLR-01,1306000,true
SAL-00128,CUS-00128,VEH-04270,2025-11-24,Tata,Nexon,Mumbai,DLR-MUM-02,1150000,true
SAL-00129,CUS-00129,VEH-04266,2025-07-20,Maruti Suzuki,Ertiga,Delhi,DLR-DEL-01,1006000,false
SAL-00130,CUS-00130,VEH-02798,2025-12-18,MG,Hector,Hyderabad,DLR-HYD-01,1667000,false
SAL-00131,CUS-00131,VEH-01516,2025-03-26,Honda,City,Hyderabad,DLR-HYD-02,1447000,false
SAL-00132,CUS-00132,VEH-00515,2025-05-15,Tata,Punch,Hyderabad,DLR-HYD-02,790000,false
SAL-00133,CUS-00133,VEH-00931,2025-07-27,Maruti Suzuki,Baleno,Delhi,DLR-DEL-03,722000,false
SAL-00134,CUS-00134,VEH-00766,2026-12-20,Hyundai,Creta,Bengaluru,DLR-BLR-01,1715000,false
SAL-00135,CUS-00135,VEH-03061,2026-02-28,Toyota,Innova Hycross,Delhi,DLR-DEL-01,2457000,false
SAL-00136,CUS-00136,VEH-04305,2025-05-27,Hyundai,Creta,Hyderabad,DLR-HYD-01,1547000,true
SAL-00137,CUS-00137,VEH-04367,2026-11-06,Maruti Suzuki,Baleno,Ahmedabad,DLR-AMD-02,764000,false
SAL-00138,CUS-00138,VEH-00815,2026-12-20,Hyundai,Creta,Bengaluru,DLR-BLR-03,1608000,false
SAL-00139,CUS-00139,VEH-04311,2025-02-22,Mahindra,XUV700,Chennai,DLR-CHN-03,1935000,true
SAL-00140,CUS-00140,VEH-00721,2026-07-20,Maruti Suzuki,Ertiga,Pune,DLR-PUN-02,1175000,false
SAL-00141,CUS-00141,VEH-00703,2025-08-13,Tata,Nexon,Ahmedabad,DLR-AMD-01,1731000,false
SAL-00142,CUS-00142,VEH-04221,2025-04-18,Maruti Suzuki,Brezza,Hyderabad,DLR-HYD-01,1116000,false
SAL-00143,CUS-00143,VEH-04623,2025-05-15,Tata,Tiago,Hyderabad,DLR-HYD-02,558000,false
SAL-00144,CUS-00144,VEH-02084,2026-03-20,Maruti Suzuki,Ertiga,Pune,DLR-PUN-01,1283000,false
SAL-00145,CUS-00145,VEH-00648,2025-05-27,Skoda,Kushaq,Mumbai,DLR-MUM-02,1331000,true
SAL-00146,CUS-00146,VEH-02600,2026-01-29,Mahindra,Scorpio-N,Chennai,DLR-CHN-03,1784000,true
SAL-00147,CUS-00147,VEH-00775,2025-07-12,Hyundai,Venue,Delhi,DLR-DEL-02,1079000,true
SAL-00148,CUS-00148,VEH-02539,2026-07-25,Tata,Nexon,Delhi,DLR-DEL-03,1556000,true
SAL-00149,CUS-00149,VEH-03794,2026-05-20,Honda,City,Pune,DLR-PUN-03,1307000,false
SAL-00150,CUS-00150,VEH-00012,2025-04-28,Mahindra,Scorpio-N,Gurgaon,DLR-GGN-01,2110000,false
SAL-00151,CUS-00151,VEH-01354,2026-07-04,Mahindra,XUV700,Pune,DLR-PUN-02,2069000,true
SAL-00152,CUS-00152,VEH-04509,2026-04-17,Hyundai,Creta,Chennai,DLR-CHN-02,1657000,false
SAL-00153,CUS-00153,VEH-03503,2025-06-11,Hyundai,Creta,Bengaluru,DLR-BLR-03,1593000,true
SAL-00154,CUS-00154,VEH-00025,2026-12-17,Skoda,Kushaq,Ahmedabad,DLR-AMD-01,1382000,true
SAL-00155,CUS-00155,VEH-01030,2026-05-18,Tata,Tiago,Delhi,DLR-DEL-02,611000,true
SAL-00156,CUS-00156,VEH-02041,2025-07-22,Hyundai,Creta,Mumbai,DLR-MUM-01,1454000,true
SAL-00157,CUS-00157,VEH-03916,2025-11-16,Kia,Seltos,Gurgaon,DLR-GGN-01,1301000,true
SAL-00158,CUS-00158,VEH-01890,2026-05-30,Tata,Nexon,Gurgaon,DLR-GGN-02,1216000,true
SAL-00159,CUS-00159,VEH-03453,2026-11-27,Mahindra,Scorpio-N,Pune,DLR-PUN-03,2210000,true
SAL-00160,CUS-00160,VEH-04063,2025-08-12,Hyundai,Venue,Mumbai,DLR-MUM-01,992000,true
SAL-00161,CUS-00161,VEH-04013,2025-04-29,Maruti Suzuki,Baleno,Bengaluru,DLR-BLR-02,840000,true
SAL-00162,CUS-00162,VEH-01507,2026-09-26,Skoda,Kushaq,Delhi,DLR-DEL-02,1370000,true
SAL-00163,CUS-00163,VEH-03511,2026-03-07,Maruti Suzuki,Ertiga,Ahmedabad,DLR-AMD-01,1022000,true
SAL-00164,CUS-00164,VEH-04152,2026-12-20,Kia,Seltos,Gurgaon,DLR-GGN-01,1527000,false
SAL-00165,CUS-00165,VEH-01535,2026-09-28,Hyundai,Venue,Delhi,DLR-DEL-01,1052000,true
SAL-00166,CUS-00166,VEH-02738,2025-02-18,Mahindra,Scorpio-N,Chennai,DLR-CHN-02,2061000,false
SAL-00167,CUS-00167,VEH-01276,2026-12-20,Tata,Punch,Mumbai,DLR-MUM-02,707000,true
SAL-00168,CUS-00168,VEH-02249,2025-03-30,Volkswagen,Virtus,Mumbai,DLR-MUM-01,1664000,false
SAL-00169,CUS-00169,VEH-03413,2026-07-28,Tata,Punch,Ahmedabad,DLR-AMD-02,725000,true
SAL-00170,CUS-00170,VEH-00096,2025-08-30,Volkswagen,Virtus,Mumbai,DLR-MUM-02,1810000,true
SAL-00171,CUS-00171,VEH-02171,2026-09-25,Maruti Suzuki,Brezza,Bengaluru,DLR-BLR-03,1108000,true
SAL-00172,CUS-00172,VEH-04918,2025-03-24,Maruti Suzuki,Brezza,Gurgaon,DLR-GGN-02,1110000,false
SAL-00173,CUS-00173,VEH-03391,2025-11-19,Mahindra,XUV700,Chennai,DLR-CHN-02,2639000,true
SAL-00174,CUS-00174,VEH-00970,2025-12-10,Tata,Nexon,Delhi,DLR-DEL-03,1624000,true
SAL-00175,CUS-00175,VEH-03155,2025-09-21,Toyota,Innova Hycross,Hyderabad,DLR-HYD-01,2853000,true
SAL-00176,CUS-00176,VEH-00265,2026-10-29,Mahindra,XUV700,Chennai,DLR-CHN-03,1936000,true
SAL-00177,CUS-00177,VEH-02137,2026-03-02,Hyundai,Creta,Pune,DLR-PUN-03,1371000,true
SAL-00178,CUS-00178,VEH-04456,2025-09-22,Mahindra,XUV700,Bengaluru,DLR-BLR-01,2211000,true
SAL-00179,CUS-00179,VEH-01018,2025-05-30,Toyota,Innova Hycross,Gurgaon,DLR-GGN-02,3045000,false
SAL-00180,CUS-00180,VEH-04841,2026-05-16,Honda,City,Mumbai,DLR-MUM-01,1378000,false
SAL-00181,CUS-00181,VEH-04309,2026-08-15,Tata,Nexon,Mumbai,DLR-MUM-03,953000,true
SAL-00182,CUS-00182,VEH-03586,2025-06-01,Mahindra,Scorpio-N,Delhi,DLR-DEL-02,2353000,true
SAL-00183,CUS-00183,VEH-03981,2025-06-14,BMW,3 Series,Pune,DLR-PUN-01,4930000,true
SAL-00184,CUS-00184,VEH-00955,2026-08-03,Maruti Suzuki,Ertiga,Bengaluru,DLR-BLR-02,1016000,false
SAL-00185,CUS-00185,VEH-00085,2025-10-05,Maruti Suzuki,Baleno,Gurgaon,DLR-GGN-01,740000,false
SAL-00186,CUS-00186,VEH-03993,2025-09-10,Volkswagen,Virtus,Delhi,DLR-DEL-02,1778000,true
SAL-00187,CUS-00187,VEH-03787,2025-09-26,Tata,Nexon,Pune,DLR-PUN-01,1647000,false
SAL-00188,CUS-00188,VEH-03534,2025-11-14,Tata,Nexon,Mumbai,DLR-MUM-03,1005000,false
SAL-00189,CUS-00189,VEH-03102,2026-08-13,Kia,Seltos,Ahmedabad,DLR-AMD-01,1338000,true
SAL-00190,CUS-00190,VEH-03577,2026-09-09,Toyota,Innova Hycross,Ahmedabad,DLR-AMD-01,2937000,true
SAL-00191,CUS-00191,VEH-00400,2026-05-31,Tata,Tiago,Bengaluru,DLR-BLR-01,630000,true
SAL-00192,CUS-00192,VEH-04796,2025-05-12,Maruti Suzuki,Brezza,Ahmedabad,DLR-AMD-01,1057000,false
SAL-00193,CUS-00193,VEH-00504,2026-12-20,Hyundai,Venue,Delhi,DLR-DEL-01,948000,true
SAL-00194,CUS-00194,VEH-02901,2026-04-18,Maruti Suzuki,Brezza,Gurgaon,DLR-GGN-01,1234000,false
SAL-00195,CUS-00195,VEH-03951,2026-08-16,Tata,Nexon,Pune,DLR-PUN-02,1778000,false
SAL-00196,CUS-00196,VEH-03247,2025-09-22,Maruti Suzuki,Baleno,Bengaluru,DLR-BLR-02,715000,true
SAL-00197,CUS-00197,VEH-01000,2026-01-17,Maruti Suzuki,Baleno,Chennai,DLR-CHN-02,799000,true
SAL-00198,CUS-00198,VEH-00562,2026-09-09,Hyundai,Creta,Bengaluru,DLR-BLR-02,1461000,true
SAL-00199,CUS-00199,VEH-03083,2025-10-22,Toyota,Innova Hycross,Hyderabad,DLR-HYD-02,2263000,false
SAL-00200,CUS-00200,VEH-02080,2026-02-15,Hyundai,Creta,Ahmedabad,DLR-AMD-01,2007000,false
SAL-00201,CUS-00201,VEH-04806,2025-09-29,Tata,Tiago,Gurgaon,DLR-GGN-02,600000,true
SAL-00202,CUS-00202,VEH-03714,2025-08-22,Mahindra,Scorpio-N,Pune,DLR-PUN-02,1794000,false
SAL-00203,CUS-00203,VEH-00358,2026-04-17,Maruti Suzuki,Baleno,Pune,DLR-PUN-01,713000,true
SAL-00204,CUS-00204,VEH-01821,2025-06-01,Maruti Suzuki,Baleno,Chennai,DLR-CHN-01,720000,true
SAL-00205,CUS-00205,VEH-04941,2025-09-13,Hyundai,Creta,Chennai,DLR-CHN-02,1872000,true
SAL-00206,CUS-00206,VEH-01922,2025-10-30,Hyundai,Creta,Gurgaon,DLR-GGN-01,1905000,false
SAL-00207,CUS-00207,VEH-02025,2025-09-21,Hyundai,Creta,Ahmedabad,DLR-AMD-02,1803000,true
SAL-00208,CUS-00208,VEH-01905,2025-08-17,Tata,Tiago,Mumbai,DLR-MUM-01,717000,false
SAL-00209,CUS-00209,VEH-00611,2026-12-20,Hyundai,Creta,Mumbai,DLR-MUM-02,1445000,false
SAL-00210,CUS-00210,VEH-04959,2025-05-02,Hyundai,Creta,Delhi,DLR-DEL-01,1880000,false
SAL-00211,CUS-00211,VEH-02877,2025-05-11,Tata,Nexon,Pune,DLR-PUN-03,1241000,false
SAL-00212,CUS-00212,VEH-04352,2025-06-15,Mahindra,XUV700,Delhi,DLR-DEL-03,2239000,false
SAL-00213,CUS-00213,VEH-03108,2025-02-23,Maruti Suzuki,Brezza,Chennai,DLR-CHN-01,1250000,false
SAL-00214,CUS-00214,VEH-00601,2025-11-23,Tata,Tiago,Chennai,DLR-CHN-01,686000,true
SAL-00215,CUS-00215,VEH-03869,2025-06-16,Maruti Suzuki,Brezza,Ahmedabad,DLR-AMD-01,1039000,true
SAL-00216,CUS-00216,VEH-04457,2026-11-02,Maruti Suzuki,Ertiga,Hyderabad,DLR-HYD-01,1157000,true
SAL-00217,CUS-00217,VEH-03664,2026-09-06,Mahindra,XUV700,Delhi,DLR-DEL-01,2047000,false
SAL-00218,CUS-00218,VEH-02352,2026-08-04,Volkswagen,Virtus,Hyderabad,DLR-HYD-01,1632000,true
SAL-00219,CUS-00219,VEH-01848,2025-09-18,Maruti Suzuki,Ertiga,Delhi,DLR-DEL-03,1081000,true
SAL-00220,CUS-00220,VEH-00207,2026-06-17,Tata,Tiago,Delhi,DLR-DEL-02,616000,false
SAL-00221,CUS-00221,VEH-04445,2025-09-07,Maruti Suzuki,Swift,Ahmedabad,DLR-AMD-02,673000,true
SAL-00222,CUS-00222,VEH-03186,2025-08-18,Mahindra,Scorpio-N,Mumbai,DLR-MUM-02,2228000,false
SAL-00223,CUS-00223,VEH-01864,2026-03-22,Hyundai,Venue,Bengaluru,DLR-BLR-02,1096000,true
SAL-00224,CUS-00224,VEH-04169,2025-07-18,Volkswagen,Virtus,Delhi,DLR-DEL-01,1558000,true
SAL-00225,CUS-00225,VEH-00364,2025-11-21,Maruti Suzuki,Baleno,Ahmedabad,DLR-AMD-01,790000,true
SAL-00226,CUS-00226,VEH-03419,2026-06-12,Honda,City,Gurgaon,DLR-GGN-02,1380000,false
SAL-00227,CUS-00227,VEH-02004,2025-06-19,Maruti Suzuki,Baleno,Delhi,DLR-DEL-02,797000,true
